Trade ID,Account ID,Instrument,TradeTime,B/S,Open/Close,Amount,Price,Trade Value,Spread Costs,Booked Amount
5434744750,700880INET,US Tech. 100 NAS (ISIN: US6311011026),21-Dec-2022,Bought,Close,40,11124.64,-444985.6,-9,374.8
5434748496,700880INET,Boeing Co. (ISIN: US0970231058),21-Dec-2022,Bought,Open,767,193.3380183,-148290.26,0,-103.8
5434753578,700880INET,Boeing Co. (ISIN: US0970231058),21-Dec-2022,Sold,Close,-767,194,148798,0,403.58
5434765311,700880INET,Caterpillar Inc. (ISIN: US1491231015),21-Dec-2022,Bought,Open,600,238.3985833,-143039.15,0,-100.13
5434774816,700880INET,Caterpillar Inc. (ISIN: US1491231015),21-Dec-2022,Sold,Close,-600,238.300125,142980.08,0,-159.16
5434972847,700880INET,Boeing Co. (ISIN: US0970231058),21-Dec-2022,Bought,Open,767,196.3383312,-150591.5,0,-105.41
5434994311,700880INET,Boeing Co. (ISIN: US0970231058),21-Dec-2022,Sold,Close,-767,195.0547849,149607.02,0,-1089.2
5436825156,700880INET,Tesla Inc. (ISIN: US88160R1014),23-Dec-2022,Sold,Open,-700,122.01,85407,0,-59.78
5436828377,700880INET,Tesla Inc. (ISIN: US88160R1014),23-Dec-2022,Bought,Close,700,123.1866143,-86230.63,0,-883.99
5436831208,700880INET,Tesla Inc. (ISIN: US88160R1014),23-Dec-2022,Sold,Open,-700,123.5,86450,0,-60.52
5436832237,700880INET,Tesla Inc. (ISIN: US88160R1014),23-Dec-2022,Bought,Open,700,123.4246,-86397.22,0,-60.48
5436832942,700880INET,Tesla Inc. (ISIN: US88160R1014),23-Dec-2022,Sold,Close,-700,123.73,86611,0,153.15
5436833021,700880INET,Tesla Inc. (ISIN: US88160R1014),23-Dec-2022,Bought,Close,700,123.9,-86730,0,-340.71
